Pinterest Catalog - FIN 22
,,,,,,,
id,title,image_link,Link,description,price,availability,varient_names
1,'Ice cream is cheaper than therapy' Clear Vinyl Sticker,https://www.kateandkrisshop.com/product-page/ice-cream-is-cheaper-than-therapy-clear-vinyl-sticker,https://www.kateandkrisshop.com/product-page/ice-cream-is-cheaper-than-therapy-clear-vinyl-sticker,Printed professionally on Vinyl with a clear backround,3,in stock,
2,That B*tch Clear Vinyl Sticker,https://www.kateandkrisshop.com/product-page/that-b-tch-clear-vinyl-sticker,https://www.kateandkrisshop.com/product-page/that-b-tch-clear-vinyl-sticker,Printed professionally on Vinyl with a clear backround,3,in stock,
3,When life gives you pumpkins Clear Vinyl Sticker,https://www.kateandkrisshop.com/product-page/when-life-givesyou-pumpkins-clear-vinyl-sticker,https://www.kateandkrisshop.com/product-page/when-life-givesyou-pumpkins-clear-vinyl-sticker,Printed professionally on Vinyl with a clear backround,3,in stock,
4,Ice Pop Holographic Sticker,https://www.kateandkrisshop.com/product-page/ice-pop-holographic-sticker,https://www.kateandkrisshop.com/product-page/ice-pop-holographic-sticker,Printed professionally on Vinyl with a clear backround,3,in stock,
5,Space Buns Holographic Sticker,https://www.kateandkrisshop.com/product-page/space-buns-holographic-sticker,https://www.kateandkrisshop.com/product-page/space-buns-holographic-sticker,Printed professionally on Vinyl with a clear backround,3,in stock,
6,"""Boo you whore"" Ghost Clear Vinyl Sticker",https://www.kateandkrisshop.com/product-page/ghost-clear-vinyl-sticker,https://www.kateandkrisshop.com/product-page/ghost-clear-vinyl-sticker,Printed professionally on Vinyl with a clear backround,3,in stock,
7,Birthday Cake Clear Vinyl Sticker,https://www.kateandkrisshop.com/product-page/birthday-cake-clear-vinyl-sticker,https://www.kateandkrisshop.com/product-page/birthday-cake-clear-vinyl-sticker,Printed professionally on Vinyl with a clear backround,3,in stock,
8,Pumpkin Clear Vinyl Sticker,https://www.kateandkrisshop.com/product-page/pumpkin-clear-vinyl-sticker,https://www.kateandkrisshop.com/product-page/pumpkin-clear-vinyl-sticker,Printed professionally on Vinyl with a clear backround,3,in stock,
9,Rainbow Cloud Notepad,https://www.kateandkrisshop.com/product-page/rainbow-cloud-notepad-1,https://www.kateandkrisshop.com/product-page/rainbow-cloud-notepad-1,Professionally Printed | 5.5” X 8.5” comes with 50 sheets,12,in stock,
10,Ice Cream Cone Keychain,https://www.kateandkrisshop.com/product-page/ice-cream-cone-keychain-1,https://www.kateandkrisshop.com/product-page/ice-cream-cone-keychain-1,Made out of Polymer Clay | Stainless Steal | Hand made with Love,12,in stock,
